ta_id,name,max_assigned,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,Maize,1,U,U,U,U,W,P,U,W,P,W,U,U,U,U,U,U,U
1,Leighton,0,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
2,Molly,1,U,U,U,U,U,U,P,W,P,U,U,U,U,U,U,W,W
3,Aleena,3,U,U,U,U,W,W,U,U,U,U,U,U,W,W,P,U,U
4,Hollie,1,U,U,U,U,W,W,W,P,W,U,U,U,U,U,U,U,U
5,Douglas,1,W,U,U,U,W,W,U,U,U,U,U,U,W,W,W,U,U
6,Andre,1,U,U,U,U,W,W,W,W,W,U,U,U,P,P,P,P,W
7,Tyrese,2,U,W,P,P,U,U,U,U,U,W,U,U,U,U,U,P,W
8,Jaden,1,P,U,U,U,U,U,W,W,U,U,U,U,P,W,W,U,U
9,Daisy,1,U,P,P,P,U,U,U,U,U,U,P,P,U,U,U,U,U
10,Tommy,2,W,W,U,U,U,P,P,U,U,U,P,U,P,U,U,U,U
11,Iqra,2,W,W,W,U,U,W,W,W,U,U,U,U,U,U,P,U,U
12,Huda,1,W,U,U,U,U,U,U,U,U,U,U,U,W,W,W,U,U
13,Kaya,2,U,U,U,U,U,U,U,P,U,U,U,U,W,W,W,P,P
14,Briony,1,W,U,U,U,U,U,U,U,U,U,U,U,P,P,W,U,U
15,Aya,2,U,W,P,W,W,U,U,U,U,U,P,P,U,U,U,U,U
16,Guy,1,P,U,U,U,U,P,U,U,U,U,U,U,P,U,P,U,U
17,Frazer,1,U,U,U,U,P,W,U,U,U,U,U,U,U,U,U,U,U
18,Mariah,2,U,P,W,U,U,W,U,U,U,P,U,U,U,U,U,U,U
19,Alasdair,1,U,U,W,U,U,W,U,U,U,U,P,W,P,W,W,U,U
20,Guy,2,P,U,W,U,P,U,U,U,U,U,U,U,U,U,U,U,U
21,William,1,U,U,U,U,W,P,W,W,W,U,U,U,U,U,U,U,U
22,Randy,2,P,U,U,U,P,W,U,U,U,W,U,U,P,W,W,U,U
23,Aana,1,U,U,U,U,U,U,W,W,W,U,U,U,W,U,U,P,P
24,Carrie,2,U,U,U,U,U,U,U,U,U,U,P,P,U,U,U,P,P
25,Floyd,1,P,U,U,U,U,U,W,P,W,U,U,U,P,P,P,W,W
26,Haaris,2,U,P,W,W,W,W,W,W,W,P,U,U,U,U,U,U,U
27,Emily,1,W,U,U,U,U,P,U,U,U,U,P,U,P,U,W,U,U
28,John,1,U,U,U,U,U,U,U,U,U,U,U,U,P,P,U,U,U
29,Brian,1,U,U,U,U,P,P,W,U,U,U,U,U,U,U,U,W,U
30,Phillip,1,W,W,P,P,W,W,U,U,U,U,P,W,P,W,W,P,P
31,Eric,1,U,U,P,U,P,U,U,W,U,U,W,W,U,U,U,U,U
32,Robin,1,W,W,P,W,P,P,U,U,U,U,P,P,W,W,U,U,U
33,Cecil,1,U,U,U,U,U,U,P,W,W,U,U,U,P,P,P,U,U
34,Mark,2,U,U,U,U,U,W,U,U,U,U,P,W,W,W,W,U,U
35,Bradley,1,U,U,U,U,U,U,W,W,W,U,U,U,U,U,U,U,U
36,Saul,1,W,U,U,U,U,U,U,U,U,U,U,U,P,W,W,U,U
37,Joe,1,W,P,W,U,U,U,U,U,U,U,W,W,W,U,U,U,U
38,Lilia,2,P,U,U,U,U,U,U,U,U,U,W,W,W,W,W,W,W
39,Kat,2,U,W,P,P,P,W,U,U,U,U,P,W,U,U,U,U,U
40,Cynthia,1,P,U,U,U,W,W,U,U,U,U,U,U,W,W,W,W,W
41,Victor,1,U,U,U,U,U,U,U,U,U,U,P,W,U,U,U,W,W
42,Craig,0,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
